cloudiness,country,date,humidity,latitude,longitude,max_temp,wind_speed
5,MX,1553560800,29,29,-110.32,298.15,4.1
76,CU,1553564007,100,100,-74.5,295.237,2.01
80,NZ,1553564007,76,76,167.72,289.137,5.81
8,KH,1553564008,54,54,106.97,303.437,3.01
1,US,1553563953,93,93,-94.42,296.48,3.46
0,RU,1553564008,76,76,128.87,253.337,1.96
0,ES,1553563875,61,61,-8.23,284.82,4.6
100,GF,1553564009,92,92,-52.96,300.087,4.81
76,CA,1553564009,83,83,-65.72,258.087,4.06
36,RU,1553564009,81,81,43.56,267.687,3.46
88,GL,1553564010,100,100,-56.15,256.887,5.56
0,BF,1553558400,43,43,-4.92,304.15,4.1
0,EG,1553562000,26,26,32.9,288.15,3.1
0,GH,1553564010,83,83,-2.02,297.137,3.96
8,SL,1553564011,88,88,-12.5,299.287,1.91
68,RU,1553564011,92,92,76.62,268.137,5.36
0,BR,1553562000,70,70,-55.97,305.15,2.6
0,RU,1553564015,33,33,115.17,266.087,1.66
1,CA,1553564006,85,85,-61.36,270.37,3.86
100,IR,1553564015,98,98,54.97,274.987,1.61
100,NA,1553562000,53,53,16.34,298.15,1.0
20,PH,1553562000,58,58,120.58,303.15,0.5
0,LK,1553564017,48,48,80.68,298.987,1.81
0,ML,1553558400,25,25,-3.61,304.15,3.1
92,CM,1553563724,95,95,10.9,289.738,1.11
88,RU,1553564017,88,88,140.29,269.137,5.56
0,RU,1553564017,61,61,133.39,257.287,1.66
0,IN,1553564018,59,59,78.93,300.637,1.66
24,BR,1553564018,96,96,-61.19,296.237,0.96
20,RU,1553564018,57,57,134.54,261.387,3.01
40,PF,1553563343,62,62,-149.27,304.15,4.1
90,RU,1553562000,92,92,53.11,272.15,5.0
88,GL,1553561400,85,85,-51.19,269.15,3.6
12,CG,1553564020,99,99,16.05,294.387,1.16
0,MA,1553562000,26,26,-5.02,294.15,5.1
0,CA,1553564020,100,100,-87.1,268.537,4.46
76,BR,1553564021,100,100,-39.27,299.537,2.06
56,RU,1553564021,51,51,126.27,260.887,3.11
100,VN,1553564021,100,100,106.6,296.787,2.41
90,US,1553564019,87,87,-123.1,282.59,1.76
0,GB,1553564002,86,86,-2.86,279.15,1.5
76,AU,1553563634,61,61,142.48,289.26,0.89
80,RU,1553564023,90,90,48.9,271.737,3.01
20,BR,1553564023,92,92,-41.65,291.637,0.41
92,AR,1553563905,65,65,-58.74,287.04,0.45
76,NO,1553564024,84,84,27.85,269.587,5.26
90,AR,1553563850,100,100,-64.5,287.04,2.1
92,SO,1553564024,90,90,48.53,300.237,5.76
40,CR,1553563971,68,68,-84.33,295.15,7.7
76,CN,1553564025,13,13,106.34,284.637,1.46
0,PH,1553564025,81,81,119.78,302.587,2.36
0,FI,1553563844,78,78,25.5,264.15,1.5
44,MN,1553564025,53,53,105.92,271.787,8.51
75,CO,1553562000,87,87,-74.09,287.15,1.5
0,MV,1553564026,100,100,72.89,302.237,5.91
20,CY,1553562000,75,75,32.42,283.15,4.1
0,CN,1553562000,42,42,119.98,291.15,3.0
0,RU,1553564027,59,59,121.63,262.487,1.76
64,VE,1553564027,65,65,-71.91,302.237,2.06
75,CA,1553563322,64,64,-68.52,253.15,5.7
32,GB,1553563997,100,100,1.45,276.48,2.6
8,ID,1553564028,83,83,95.32,301.737,1.26
36,ZA,1553564028,95,95,27.85,281.487,1.16
0,CA,1553564028,65,65,-79.2,261.037,4.91
20,PT,1553563972,82,82,-25.43,287.15,5.7
20,CO,1553563894,69,69,-74.21,301.48,7.2
68,GL,1553564030,85,85,-53.67,263.187,1.06
0,IT,1553563504,70,70,12.48,284.26,3.1
92,ID,1553564030,98,98,100.95,295.587,1.41
64,NG,1553564030,84,84,8.73,298.587,4.21
56,CA,1553564031,93,93,-105.99,274.487,5.01
44,BF,1553564031,46,46,-3.87,301.387,1.76
20,CA,1553562000,88,88,-123.09,278.15,1.5
20,MX,1553563838,35,35,-113.53,296.48,2.24
0,AU,1553563882,40,40,150.18,294.26,1.79
8,ID,1553563746,100,100,96.13,299.138,2.46
1,US,1553563949,44,44,-101.71,290.15,3.6
0,RU,1553564033,60,60,103.29,268.787,4.71
24,CO,1553564033,89,89,-74.78,298.487,0.96
0,CN,1553564033,50,50,123.49,273.587,4.81
56,ML,1553564033,75,75,-8.03,294.987,2.21
0,IN,1553564034,59,59,78.88,299.387,0.61
90,US,1553564017,81,81,-86.58,282.15,6.7
24,CO,1553558400,49,49,-67.49,306.15,0.71
90,US,1553563761,86,86,-75.55,278.71,4.1
0,CN,1553564035,42,42,126.91,273.637,2.56
